Date	beta1	beta2	beta3	beta4	lambda1	lambda2
2016-11-04 00:00:00.000	0.0235174640788498	-0.0242403156509987	5.89366533404367	-5.92792282322793	1.46140926293667	1.46630640886614
2016-11-03 00:00:00.000	0.024282092675456	-0.0249006940570313	9.12772698127289	-9.16227487831093	1.43918758413841	1.44233179700534
2016-11-02 00:00:00.000	0.0241383480907692	-0.0247609523365141	14.8414345474284	-14.8760077070856	1.45203544717052	1.45400360942166
2016-11-01 00:00:00.000	0.0247835321637344	-0.0249348046481175	16.5031863280052	-16.5377507657587	1.40069234154035	1.40242777560833
2016-10-31 00:00:00.000	0.024085028654319	-0.0240405056508339	22.550913277891	-22.5847388620433	1.41198877272694	1.41324074208777
2016-10-28 00:00:00.000	0.0243011491449756	-0.0239500418611615	35.2702186217383	-35.3039141477312	1.42021311994851	1.4210200962918
2016-10-27 00:00:00.000	0.0235617217457404	-0.0232095555244426	21.3722839136804	-21.4051385891059	1.38185341957019	1.38312556543281
2016-10-26 00:00:00.000	0.0233351453883755	-0.0228730742956575	17.523168761336	-17.5559037031653	1.46813832666286	1.46981732550465
2016-10-25 00:00:00.000	0.0226776828873344	-0.0224616956711293	21.9575441280807	-21.9902633376482	1.49693003914231	1.49831272367395
2016-10-24 00:00:00.000	0.0227914868215618	-0.0225542409514807	23.9792376064394	-24.0120525805249	1.48869497187152	1.48996136961275
2016-10-21 00:00:00.000	0.0226342631295953	-0.0220633032551281	28.0054850191073	-28.0388784047807	1.49926034714213	1.50031689435512
2016-10-20 00:00:00.000	0.0227170534763612	-0.0221106679471042	27.6214972074689	-27.6555386001399	1.49519242868974	1.49624768233551
2016-10-19 00:00:00.000	0.023067245212645	-0.022582883943172	36.3433807521173	-36.3777699198229	1.53067163115038	1.53149647012276
2016-10-18 00:00:00.000	0.0231830466782155	-0.0225541087403868	38.9197146310036	-38.9546916348638	1.5349923231799	1.53575575839128
2016-10-17 00:00:00.000	0.0233136563983584	-0.0229051335992386	33.4017262570167	-33.436770339366	1.48649022231527	1.48736415911179
2016-10-14 00:00:00.000	0.0233488203095098	-0.0227867952457689	53.59060564056	-53.6255757007179	1.51505243593487	1.51562035449456
2016-10-13 00:00:00.000	0.0228879949220196	-0.0221955446740466	71.7633503442045	-71.7986990685148	1.57066264919314	1.57111073492238
